,name,album,artist,image,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
26,ハート,ハート,Aimyon,https://i.scdn.co/image/ab67616d0000b2732ea676345bb9b2c11a1f0671,2021-10-20,271280,71,6,1,0.661,0.543,0.448,0.0,0.0818,-5.761,0.0522,78.114,4,0.299
27,WA DA DA,FIRST IMPACT,Kep1er,https://i.scdn.co/image/ab67616d0000b273146476896cd28ec9489fd2d9,2022-01-03,183693,72,10,1,0.785,0.00122,0.907,3.11e-06,0.213,-2.657,0.0938,126.004,4,0.685
28,Cry Baby,Editorial,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b2731ce13e03759fd585b8115476,2021-08-18,241680,69,1,1,0.346,0.0103,0.901,0.0,0.358,-4.617,0.12,199.934,4,0.434
29,YOKAZE,ZURUMUKE,HENTAI SHINSHI CLUB,https://i.scdn.co/image/ab67616d0000b27332248e88f72e0e6711afdef4,2021-06-16,269547,70,10,1,0.642,0.293,0.587,0.0,0.0784,-5.53,0.0268,89.96,4,0.361
30,踊り子,踊り子,Vaundy,https://i.scdn.co/image/ab67616d0000b2737535e19e3d6c39514160db60,2021-11-17,230109,73,7,1,0.718,0.845,0.475,0.801,0.105,-11.469,0.0611,157.032,4,0.678
31,怪物,THE BOOK 2,YOASOBI,https://i.scdn.co/image/ab67616d0000b2739c3625a413a9a79facea38c2,2021-12-01,205480,68,1,1,0.598,0.0655,0.847,9.92e-05,0.307,-2.54,0.205,169.959,4,0.728
32,Mela!,Mela!,Ryokuoushoku Shakai,https://i.scdn.co/image/ab67616d0000b273c753d46683786eed63d41a90,2020-04-13,242066,71,8,1,0.619,0.0439,0.941,1.73e-05,0.318,-1.618,0.0584,137.967,4,0.624
33,常緑,you,Chippoke Ohashi,https://i.scdn.co/image/ab67616d0000b273bf93022a32afcee9a115a50e,2021-10-13,171546,70,11,1,0.725,0.0242,0.75,0.0,0.101,-5.694,0.0772,101.19,4,0.888
34,三原色,THE BOOK 2,YOASOBI,https://i.scdn.co/image/ab67616d0000b2739c3625a413a9a79facea38c2,2021-12-01,220253,68,5,0,0.666,0.0836,0.923,0.0,0.315,-2.362,0.0712,128.014,4,0.861
35,ヨワネハキ,ヨワネハキ,MAISONdes,https://i.scdn.co/image/ab67616d0000b273b5173af606dd660218869b77,2021-05-19,166966,71,7,1,0.78,0.0432,0.814,8.28e-05,0.168,-3.617,0.0291,108.025,4,0.59
36,115万キロのフィルム,エスカパレード,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b273981e918d799daf9eb7e72ac1,2018-04-11,324633,71,3,1,0.516,0.00345,0.791,0.0,0.141,-1.927,0.0318,96.921,4,0.48
37,猫,僕たちがやりました,DISH//,https://i.scdn.co/image/ab67616d0000b273ece6b6818c2b96a559508acc,2017-08-15,276040,70,3,1,0.506,0.113,0.769,0.0,0.0828,-5.326,0.0363,154.044,4,0.536
38,Pretender,Traveler,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b2739c4ba827e585fabd3cfd90f2,2019-08-31,326842,58,8,1,0.538,0.047,0.869,0.0,0.14,-3.464,0.0275,91.972,4,0.369
39,The Feels,Formula of Love: O+T=<3,TWICE,https://i.scdn.co/image/ab67616d0000b2734687e95bc88740e997be9e6b,2021-11-12,198053,68,9,1,0.808,0.0899,0.903,0.0,0.0816,-2.179,0.0729,120.044,4,0.922
40,ELEVEN,ELEVEN,IVE,https://i.scdn.co/image/ab67616d0000b273da343b21617aac0c57e332bb,2021-12-01,178453,82,9,1,0.828,0.0617,0.731,0.0,0.048,-3.033,0.111,119.978,4,0.587
41,"Stand by me, Stand by you.",Life Goes On,HIRAIDAI,https://i.scdn.co/image/ab67616d0000b27386a86bc3753b237672859788,2021-02-10,193012,69,3,1,0.66,0.0879,0.576,0.0,0.0599,-5.627,0.0363,80.978,4,0.561
42,踊,狂言,Ado,https://i.scdn.co/image/ab67616d0000b2732cd7888600aafe2eb8b6be9f,2022-01-26,210346,69,1,1,0.709,0.153,0.962,1.77e-06,0.621,-0.753,0.106,128.013,4,0.767
43,まつり,LOVE ALL SERVE ALL,Fujii Kaze,https://i.scdn.co/image/ab67616d0000b273af62b027ee85ae2e2f7c9702,2022-03-23,225920,67,1,1,0.663,0.00892,0.731,0.0502,0.293,-7.335,0.0338,97.025,4,0.356
44,おもかげ (produced by Vaundy),おもかげ (produced by Vaundy),milet,https://i.scdn.co/image/ab67616d0000b273ac1a5a83790ba13920affe1e,2021-12-17,188060,71,8,1,0.488,0.0258,0.638,2.24e-05,0.12,-4.502,0.058,207.906,4,0.713
45,BOY,BOY,King Gnu,https://i.scdn.co/image/ab67616d0000b273391b756881355e95b8252efd,2021-10-15,231385,71,0,1,0.619,0.0831,0.802,0.0,0.361,-6.618,0.0629,109.982,4,0.535
46,I LOVE...,Editorial,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b2731ce13e03759fd585b8115476,2021-08-18,282680,68,9,1,0.546,0.00938,0.663,0.0,0.178,-6.071,0.0536,171.698,4,0.407
47,もう少しだけ,THE BOOK 2,YOASOBI,https://i.scdn.co/image/ab67616d0000b2739c3625a413a9a79facea38c2,2021-12-01,218853,67,8,1,0.668,0.109,0.814,0.0,0.119,-3.732,0.0287,99.98,4,0.584
48,Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,https://i.scdn.co/image/ab67616d0000b2734b54d2a72484832db80a0fe9,2020-12-23,221426,76,5,0,0.584,0.0119,0.911,0.0,0.119,-3.515,0.09,92.502,4,0.606
49,虹,COLLAGE,Masaki Suda,https://i.scdn.co/image/ab67616d0000b273171231dbbb138cad4af3024c,2022-03-09,257398,65,5,1,0.543,0.0643,0.622,0.0,0.17,-4.735,0.03,143.931,4,0.327
